date,id,city,state,venue,song,encore
6/10/22,,Washington,DC,Warner Theatre,Our Singer,
6/10/22,,Washington,DC,Warner Theatre,Stereo,
6/10/22,,Washington,DC,Warner Theatre,Starlings of the Slipstream,
6/10/22,,Washington,DC,Warner Theatre,Folk Jam,
6/10/22,,Washington,DC,Warner Theatre,Heckler Spray,
6/10/22,,Washington,DC,Warner Theatre,Feed 'em to the (Linden) Lions,
6/10/22,,Washington,DC,Warner Theatre,Shoot the Singer (1 Sick Verse),
6/10/22,,Washington,DC,Warner Theatre,Debris Slide,
6/10/22,,Washington,DC,Warner Theatre,Fight This Generation,
6/10/22,,Washington,DC,Warner Theatre,Date w/ IKEA,
6/10/22,,Washington,DC,Warner Theatre,Silence Kid,
6/10/22,,Washington,DC,Warner Theatre,Shady Lane,
6/10/22,,Washington,DC,Warner Theatre,Serpentine Pad,
6/10/22,,Washington,DC,Warner Theatre,Pueblo,
6/10/22,,Washington,DC,Warner Theatre,Spit on a Stranger,
6/10/22,,Washington,DC,Warner Theatre,Two States,
6/10/22,,Washington,DC,Warner Theatre,Father to a Sister of Thought,
6/10/22,,Washington,DC,Warner Theatre,Half a Canyon,
6/10/22,,Washington,DC,Warner Theatre,Blue Hawaiian,
6/10/22,,Washington,DC,Warner Theatre,Motion Suggests,
6/10/22,,Washington,DC,Warner Theatre,Cut Your Hair,
6/10/22,,Washington,DC,Warner Theatre,Grave Architecture,1
6/10/22,,Washington,DC,Warner Theatre,Range Life,1
6/10/22,,Washington,DC,Warner Theatre,Gold Soundz,1
6/10/22,,Washington,DC,Warner Theatre,Here,1
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Grounded,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Summer Babe,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Stereo,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Black Out,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Embassy Row,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Zurich Is Stained,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Trigger Cut,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Two States,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Type Slowly,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Harness Your Hopes,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Spit on a Stranger,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Unfair,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,We Dance,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Painted Soldiers,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Range Life,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Fin,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Kennel District,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Transport Is Arranged,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Perfume-V,
5/10/22,,Philadelphia,PA,Metropolitan Opera House,Cut Your Hair,
