song,album
Cut Your Hair,crooked
Harness Your Hopes,brighten
Range Life,crooked
Spit on a Stranger,terror
Kennel District,wowee
Stereo,brighten
Grounded,wowee
Summer Babe,westing
The Hexx,terror
Two States,slanted
Type Slowly,brighten
Unfair,crooked
Embassy Row,brighten
Gold Soundz,crooked
Heckler Spray,westing
Stop Breathin,crooked
Trigger Cut,slanted
Major Leagues,terror
Serpentine Pad,wowee
Father to a Sister of Thought,wowee
Grave Architecture,wowee
Shady Lane,brighten
Starlings of the Slipstream,brighten
Black Out,wowee
Blue Hawaiian,brighten
Debris Slide,westing
Feed 'em to the (Linden) Lions,watery
Fin,brighten
Folk Jam,terror
Here,slanted
Painted Soldiers,wowee
Shoot the Singer (1 Sick Verse),slanted
Silence Kid,crooked
Transport Is Arranged,brighten
Zurich Is Stained,slanted
Box Elder,westing
Fight This Generation,wowee
Pueblo,wowee
Fame Throwa,slanted
Give It a Day,wowee
In the Mouth a Desert,slanted
Motion Suggests,wowee
Perfume-V,slanted
We Dance,wowee
Date w/ IKEA,brighten
Frontwards,slanted
Gangsters & Pranksters,wowee
Home,westing
Our Singer,slanted
Fillmore Jive,crooked
Half a Canyon,wowee
Heaven Is a Truck,crooked
Spizzle Trunk,westing
Angel Carver Blues / Mellow Jazz Docent,westing
